title_english,title_nepali,author_profile_link,author_name,Audiobook,E-book,Paperback,Hardcover,publisher_profile_link,publisher_name,genre,published_date,edition,isbn10,isbn13,pages,weight,language
Lauhapurus,लौहपुरुष: विश्लेषणात्मक जीवनगाथा,https://www.thuprai.com/author/ghanendrapurus-dhakal/,Ghanendrapurus Dhakal,,,1100,,https://www.thuprai.com/publisher/ganeshman-singh-foundation/,Ganeshman Singh Foundation,Biography & Memoirs,,,9937090687,9789937090681,,,Nepali
Kukhuri,कुखुरी,https://www.thuprai.com/author/yeshu-shrestha/,Yeshu Shrestha,,,100,,https://www.thuprai.com/publisher/parichaya-publication/,Parichaya Publication,Children,,,9937664896,9789937664899,,,Nepali
Adharbhut bali bigyan tatha bali utpadan,आधारभूत बाली विज्ञान तथा बाली उत्पादन,https://www.thuprai.com/author/ram-chandra-neupane/,Ram Chandra Neupane,,,425,,https://www.thuprai.com/publisher/heritage_publishers/,Heritage Publishers,Agriculture,,,,,,,Nepali
Thotro Chhata,थोत्रो छाता,https://www.thuprai.com/author/nava-silwal/,Nava Silwal,,,300,,https://www.thuprai.com/publisher/phoenix-books/,Phoenix Books,Stories,"February 06, 2013",1,9937290139,9789937290135,222,,Nepali
Jeliyeko,जेलिएको,https://www.thuprai.com/author/dhruva-chandra-gautam/,Dhruvachandra Gautam,,,395,,https://www.thuprai.com/publisher/ratna-pustak-bhandar/,Ratna Pustak Bhandar,Novels,2019,1,993733215X,9789937332156,236,200 g,Nepali
Tyo Samaya,त्यो समय,https://www.thuprai.com/author/sharda-sharma/,Sharada Sharma,,,595,,https://www.thuprai.com/publisher/sangri-la-books/,Sangri-La Books,Biography  and Memoirs for Children,,,,,,,Nepali
Trisha,तृषा,https://www.thuprai.com/author/sushila-poudel/,Sushila Poudel,,,350,,https://www.thuprai.com/publisher/shikha-books/,Shikha Books,Novels,"July 13, 2019",,9937931193,9789937931199,,,Nepali
Thule Ra Sane,ठुले र साने,https://www.thuprai.com/author/rajesh-koirala/,Rajesh Koirala,,,130,,https://www.thuprai.com/publisher/ratna-pustak-bhandar/,Ratna Pustak Bhandar,Children,,,,,,,Nepali
Chhito Douddne Gadha,छिटो दौड्ने गधा,https://www.thuprai.com/author/n/,N/A,,,150,,https://www.thuprai.com/publisher/indigo-ink/,Indigo Ink,"Picturebook for Children,Story for Children",,,,,,,Nepali
Aadim Samyawaddekhi Dasaprathasammako Itihas,आदिम साम्यवाददेखि दासप्रथासम्मको इतिहास,https://www.thuprai.com/author/shripad-amrit-dangey/,Shripad Amrit Dangey,,,699,,https://www.thuprai.com/publisher/indigo-ink/,Indigo Ink,Non-fiction,"July 24, 2024",,093638543X,9780936385433,,224 g,Nepali
Juino,जुइनो,https://www.thuprai.com/author/binita-baral/,Binita Baral,,,294,,https://www.thuprai.com/publisher/fineprint/,FinePrint,Novels,,,9937665132,9789937665131,204,,Nepali
Saphal Byaktitwaka Baigyanik Sutra,सफल व्यक्तित्वका वैज्ञानिक  सुत्र,https://www.thuprai.com/author/dron-parajuli/,Dron Parajuli,,,400,,https://www.thuprai.com/publisher/bhundipuran_prakashan/,Bhundipuran Prakashan,Self-help,,,,,,200 g,Nepali
Golden Gate,गोल्डेन गेट,https://www.thuprai.com/author/srijana-sharma/,Srijana Sharma,,120,290,,https://www.thuprai.com/publisher/akshar-creations/,Akshar Creations,Contemporary Fiction,,,,,,,Nepali
Naya Nepali Shrinkhala 4,,https://www.thuprai.com/author/dr-mahadev-awasthi/,Dr Mahadev Awasthi,,,210,,https://www.thuprai.com/publisher/ekta-books-distributors/,Ekta Books Distributors,Textbook,,,9993311073,9789993311072,128,,Nepali
Shreemad Bhagavad Gita,श्रीमद्भगवद्गीता,https://www.thuprai.com/author/swami-chinmayananda/,Swami Chinmayananda,,,900,,,,Ancient Religions & Mythologies,,,9993357146,9789993357148,,,Nepali
Aashaka Rangharu,आशाका रङहरू,https://www.thuprai.com/author/aasha-limbu/,Aasha Limbu,,75,250,,https://www.thuprai.com/publisher/samakalin-literary-academy/,"Samakalin Literary Academy, UK",Poetry,May 2018,2,9937027357,9789937027359,,,Nepali
Sathilai Koseli,साथीलाई कोसेली,,,,,160,,https://www.thuprai.com/publisher/parichaya-publication/,Parichaya Publication,Picturebook for Children,,,9937664667,9789937664660,,,Nepali
Sathi Kachhuwa,साथी कछुवा,https://www.thuprai.com/author/kapil-lamichhane/,Kapil Lamichhane,,,120,,https://www.thuprai.com/publisher/bal-sansar-pvt-ltd/,Bal Sansar Pvt Ltd,Picturebook for Children,,,9937550041,9789937550048,,,Nepali
Yeti Ko Kakh Ma (Vol. 2),यतीको काखमा (भाग– २): बाल उपन्यास,https://www.thuprai.com/author/binod-neupane/,Binod Neupane,,50,200,,,,Novels for Children,"May 19, 2021",1,,,,116 g,Nepali
Ko Kaha Luke?,को कहाँ लुके?,https://www.thuprai.com/author/dhrub-ghimire/,Dhrub Ghimire,,,120,,https://www.thuprai.com/publisher/parichaya-publication/,Parichaya Publication,Children,,,9937664365,9789937664363,,,Nepali
Kheldai Padhdai Sikdai,खेल्दै पढ्दै सिक्दै,https://www.thuprai.com/author/bijay-raj-acharya/,Bijaya Raj Acharya,,0,,,https://www.thuprai.com/publisher/bibek-sirjanshil-publication/,Bibek Sirjanshil Publication,Story for Children,"June 17, 2024",,9937966434,9789937966436,,,Nepali
Ma Aglo Chhu,म अग्लो छु,https://www.thuprai.com/author/yashu-shrestha/,Yashu Shrestha,,,300,,https://www.thuprai.com/publisher/kopila-kitab/,Kopila Kitab,"Children,Picturebook for Children",,,,,12,,Nepali
Pracheen Tatha Madhyakaleen Nepalko Itihaas,प्राचीन तथा मध्यकालीन नेपालको इतिहास,https://www.thuprai.com/author/balram-kayastha/,Balram Kayastha,,,550,,https://www.thuprai.com/publisher/swadesh-prakashan/,Swadesh Prakashan,Nepali History,,1,9937942470,9789937942478,260,300 g,Nepali
Ujyaloko Rang,उज्यालोको रङ,https://www.thuprai.com/author/januka-khatiwada/,Januka Khatiwada,,150,250,,https://www.thuprai.com/publisher/kalam-prakashan/,Kalam Prakashan,Contemporary Fiction,September 2021,1,9937094194,9789937094191,,,Nepali
Santa Ko Chata,सन्तेको छाता,https://www.thuprai.com/author/durga-lal-shrestha/,Durga Lal Shrestha,,0,,,,,Poems for Children,,,,,,,Nepali
GaauriTranslated :  Ganesh Prasad Khanal,गौरी: अनुवादः गणेशप्रसाद खनाल,https://www.thuprai.com/author/ajit-kaur/,Ajit Kaur,,,275,,https://www.thuprai.com/publisher/manjari-publication/,Manjari Publication,Stories,,,,,,,Nepali
Chiniya Patrakarko Najarma Nepal,चिनियाँ पत्रकारको नजरमा नेपाल: सुधार या समाप्त,https://www.thuprai.com/author/zhou-shengping/,Zhou Shengping,,,350,,https://www.thuprai.com/publisher/janata_prasaran/,Janata Prasaran,Politics & Government,"January 29, 2022",1,993794502X,9789937945028,240,,Nepali
Sallipir,सल्लीपिर,https://www.thuprai.com/author/nayan-raj-pandey/,Nayan Raj Pandey,,,348,,https://www.thuprai.com/publisher/fineprint/,FinePrint,Fiction,2016,,9937665094,9789937665094,229,188 g,Nepali
Sun Ko Bancharo,सुनको बन्चरो,https://www.thuprai.com/author/tanka-chaulagain/,Tanka Chaulagain,,,100,,https://www.thuprai.com/publisher/kathalaya/,Kathalaya,Children,,,9937669448,9789937669443,,,Nepali
Eghara November,एघार नोभेम्बर,https://www.thuprai.com/author/kangmang-naresh-rai/,Kangmang Naresh  Rai,,100,250,,https://www.thuprai.com/publisher/phoenix-books/,Phoenix Books,Contemporary Fiction,,,9937705401,9789937705400,,200 g,Nepali
Musa Manush,मुसा मानुष,https://www.thuprai.com/author/john-steinbeck/,John Steinbeck,,,350,,https://www.thuprai.com/publisher/book-hill/,Book Hill,Novels,"October 11, 2020",1,,,,143 g,Nepali
Hetchhakuppa,हेत्छाकुप्पा,https://www.thuprai.com/author/rajan-mukarung/,Rajan Mukarung,,,325,,https://www.thuprai.com/publisher/phoenix-books/,Phoenix Books,Novels,,,,,,236 g,Nepali
Sadhguru,सदगुरु: जीवनी र दर्शन,https://www.thuprai.com/author/anupam-pokharel/,Anupam Pokharel,,0,,,https://www.thuprai.com/publisher/panch-pokhari-prakashan/,Panch Pokhari Prakashan,Autobiography,,,993771902X,9789937719025,294,250 g,Nepali
Naya Ghar,नयाँ घर,https://www.thuprai.com/author/aahuti/,Aahuti,,,525,,https://www.thuprai.com/publisher/pragati-pustak-sadan/,Pragati Pustak Sadan,Novels,2016,5,,,520,485 g,Nepali
Brihat Shree SwasthaniBrata katha,बृहत श्री स्वस्थानी: बर्त कथा,https://www.thuprai.com/author/narayan-dhakal/,Narayan Dhakal,,,685,,https://www.thuprai.com/publisher/sp-prakashan-pvtltd/,SP Prakashan Pvt.Ltd.,Religious & Spiritual Fiction,,,,,372,638 g,Nepali
Pasang Lhamu Sherpa ra Aru Kavitaharu,पासाङल्हामु शेर्पा र अरु कविताहरु,https://www.thuprai.com/author/chetrapratap-adhikari/,Chetrapratap Adhikari,,,95,,https://www.thuprai.com/publisher/bookart-nepal/,BookArt Nepal,Poems for Children,,,9937652774,9789937652773,,,Nepali
Khel Jeet Manobigyan,खेल जीत मनोविज्ञान,https://www.thuprai.com/author/dn-ghising/,DN Ghising,,,375,,https://www.thuprai.com/publisher/glory-media/,Glory Media,Sports Psychology,,1,9937078571,9789937078573,176,,Nepali
Ijajatpatra,इजाजतपत्र,https://www.thuprai.com/author/sarthak-karki/,Sarthak Karki,,,295,,https://www.thuprai.com/publisher/sangri-la-books/,Sangri-La Books,Novels,"June 09, 2024",,993777568X,9789937775687,116,94 g,Nepali
Loksewa Aayog ko Pariksha SarathiLocal Level - 4,लोकसेवा आयोग परीक्षा सारथि: स्थानीय तह - ४,https://www.thuprai.com/author/tanka-kc/,Tank K.C.,,,850,,https://www.thuprai.com/publisher/goodwill-publication-and-distributor/,Goodwill Publication and Distributor,Loksewa Preparation,,,,,,,Nepali
Gautam Buddha Jiwani Ra Darshan,गौतम बुद्ध जीवनी र दर्शन: जीवनी र दर्शन,https://www.thuprai.com/author/roshan-dahal/,Roshan Dahal,,,450,,https://www.thuprai.com/publisher/panch-pokhari-prakashan/,Panch Pokhari Prakashan,Buddhism,,,9937863007,9789937863001,,300 g,Nepali
Inkalabya Palansan,इन्कलाबया  पलां स :,https://www.thuprai.com/author/durga-lal-shrestha/,Durga Lal Shrestha,,0,,,,,Poetry,,,,,,,Nepali
Utsarga Prem,उत्सर्ग प्रेम,https://www.thuprai.com/author/Rajeshwar-devkota/,Rajeshwar Devkota,,,310,,https://www.thuprai.com/publisher/lipi-books/,Lipi Books,Contemporary Fiction,,1st,9937918642,9789937918640,200,150 g,Nepali
Engineering Shiksha ka Engineer,इन्जिनियरिङ शिक्षाका इन्जिनियर,https://www.thuprai.com/author/dr-bhola-thapa/,Dr. Bhola Thapa,,,400,,https://www.thuprai.com/publisher/sama-thapa/,Sama Thapa,Test Preparation,November 2019,1,9937068029,9789937068024,,,Nepali
Itar Kabita,इतर कविता,https://www.thuprai.com/author/rajan-mukarung/,Rajan Mukarung,,,725,,,,Poetry,,,9937070511,9789937070515,,,Nepali
Kairan,कैरन,https://www.thuprai.com/author/dhruba-satya-pariyar/,Dhruba Satya Pariyar,,,275,,https://www.thuprai.com/publisher/sangri-la-books/,Sangri-La Books,Fiction,"November 11, 2017",1,9937708044,9789937708043,195,,Nepali
Sulochana,सुलोचना,https://www.thuprai.com/author/mahakavi-laxmi-prasad-devkota/,Laxmi Prasad Devkota,,,280,,https://www.thuprai.com/publisher/sajha-prakashan/,Sajha Prakashan,Fiction,2016,13,9993320196,9789993320197,244,,Nepali
ParasuramParasuram,परशुराम,https://www.thuprai.com/author/kiran-acharya/,Kiran Acharya,,,375,,https://www.thuprai.com/publisher/shikha-books/,Shikha Books,Fiction,,1,9937780713,9789937780711,,123 g,Nepali
Buddhibinod,बुद्धिविनोद,https://www.thuprai.com/author/lekhnath-paudyal/,Lekhnath Paudyal,,,85,,https://www.thuprai.com/publisher/manjari-publication/,Manjari Publication,Poetry,,,9937916208,9789937916202,32,25 g,Nepali
Mutuko Dhadkan,मुटुको धड्कन,https://www.thuprai.com/author/dr-arjun-dev-bhatta/,Dr. Arjun Dev Bhatta,,,250,,https://www.thuprai.com/publisher/indigo-ink/,Indigo Ink,Poetry,,,,,,,Nepali
Maile Je Dekhe,मैले जे देखे,https://www.thuprai.com/author/radha-krishna-mainali/,Radha Krishna Mainali,,,425,,https://www.thuprai.com/publisher/phoenix-books/,Phoenix Books,Memoirs,2018,1,9937705320,9789937705325,325,250 g,Nepali
Tangsing,तङसिङ,https://www.thuprai.com/author/raja-puniani/,Raja Puniani,,,320,,https://www.thuprai.com/publisher/sambodhan-publication/,Sambodhan Publication,Poetry,"March 31, 2022",,9355666616,9789355666611,,,Nepali
KhaiKhai,खै खै,https://www.thuprai.com/author/keshav-raj-pindali/,Keshav Raj Pindali,,,85,,https://www.thuprai.com/publisher/sajha-prakashan/,Sajha Prakashan,"Stories,Story for Children",,,9937320267,9789937320269,,,Nepali
Bimba,विम्ब,https://www.thuprai.com/author/sunita-basnet-thapa/,Sunita Basnet Thapa,,,175,,https://www.thuprai.com/publisher/ratna-pustak-bhandar/,Ratna Pustak Bhandar,Poetry,2019,1,993733232X,9789937332323,112,100 g,Nepali
My Mathematics: Grade 1Self Learning Material,मेरो गणित: कक्षा  १: स्वाध्याय सामग्री,,,,0,,,https://www.thuprai.com/publisher/nepal-sarkar-shiksa-mantralaya-pathyakram-bikas-kendra/,Nepal Sarkar Shiksa Mantralaya Pathyakram Bikas Kendra,Textbook,,,,,,,Nepali
"Janaswasthya Paata,Baata Ra Anubhuti","जनस्वास्थ्य पाटा, बाटा र अनुभूति",https://www.thuprai.com/author/dr-nabaraj-subba/,Dr. Nawa Raj Subba,,0,,,https://www.thuprai.com/publisher/vaani-prakashan/,Vaani Prakashan,Non-fiction,,,,,,,Nepali
Aagoka Phoolharu Hun Aagoka Phoolharu Hoinan,आगोका फूलहरू हुन् आगोका फूलहरू होइनन्,https://www.thuprai.com/author/ishwar-ballav/,Ishwar Ballav,,,250,,https://www.thuprai.com/publisher/manjari-publication/,Manjari Publication,Poetry,1972,,9937911311,9789937911313,119,98 g,Nepali
Darshansastrako Prarambhik GyanViktor Afanasyev,दर्शनशास्त्रको प्रारम्भिक ज्ञान: भिक्टर आफानास्येभ,https://www.thuprai.com/author/krishnaprakash-shrestha/,Krishnaprakash Shrestha,,,600,,https://www.thuprai.com/publisher/swadesh-prakashan/,Swadesh Prakashan,Non-fiction,,,9937942497,9789937942492,,,Nepali
Chhath Tiktik,छठ टिकटिक: विवेक विसंकेतन माला ३,https://www.thuprai.com/author/netra-tamang/,Netra Tamang,,,130,,https://www.thuprai.com/publisher/bibek-sirjanshil-publication/,Bibek Sirjanshil Publication,Picturebook for Children,"February 05, 2022",1,993731304X,9789937313049,,45 g,Nepali
Nirdhara,निर्धरा,https://www.thuprai.com/author/narayan-nirasi/,Narayan Nirasi,,,575,,https://www.thuprai.com/publisher/maya-publication/,Maya Publication,Fiction,"July 25, 2024",,9937967805,9789937967808,,,Nepali
Theatre Analysis 2,रङ्गमञ्च समिक्षा  २,,,,,300,,https://www.thuprai.com/publisher/shilpee/,Shilpee Kala Samuha,Drama,,,,,,,Nepali
